CUSTOMERID,CUSTOMERNAME,PHONE,CONTACTFIRSTNAME,CONTACTLASTNAME,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY
38,Scandinavian Gift Ideas,0695-34 6555,Maria,Larsson,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA
39,Auto Assoc. & Cie.,30.59.8555,Daniel,Tonini,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA
40,Mini Gifts Distributors Ltd.,4155551450,Valarie,Nelson,5677 Strong St.,,San Rafael,CA,97562,USA,
41,Online Diecast Creations Co.,6035558647,Valarie,Young,2304 Long Airport Avenue,,Nashua,NH,62005,USA,
42,Collectables For Less Inc.,6175558555,Allen,Nelson,7825 Douglas Av.,,Brickhaven,MA,58339,USA,
43,"Anna's Decorations, Ltd",02 9936 8555,Anna,O'Hara,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC
44,Quebec Home Shopping Network,(514) 555-8054,Jean,Fresnisre,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,
45,Osaka Souveniers Co.,+81 06 6342 5555,Mory,Kentary,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan
46,Motor Mint Distributors Inc.,2155559857,Rosa,Hernandez,11328 Douglas Av.,,Philadelphia,PA,71270,USA,
47,Atelier graphique,40.32.2555,Carine,Schmitt,"54, rue Royale",,Nantes,,44000,France,EMEA
48,Mini Classics,9145554562,Steve,Frick,3758 North Pendale Street,,White Plains,NY,24067,USA,
49,Danish Wholesale Imports,31 12 3555,Jytte,Petersen,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
50,"Stylish Desk Decors, Co.",(171) 555-0297,Ann,Brown,35 King George,,London,,WX3 6FW,UK,EMEA
51,Mini Creations Ltd.,5085559555,Wing C,Tam,4575 Hillside Dr.,,New Bedford,MA,50553,USA,
52,Alpha Cognac,61.77.6555,Annette,Roulet,1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA
53,"Double Decker Gift Stores, Ltd",(171) 555-7555,Thomas,Hardy,120 Hanover Sq.,,London,,WA1 1DP,UK,EMEA
54,Enaco Distributors,(93) 203 4555,Eduardo,Saavedra,"Rambla de Catalu¤a, 23",,Barcelona,,8022,Spain,EMEA
55,"Men 'R' US Retailers, Ltd.",2155554369,Michael,Chandler,6047 Douglas Av.,,Los Angeles,CA,,USA,
56,Collectable Mini Designs Co.,7605558146,Valarie,Thompson,361 Furth Circle,,San Diego,CA,91217,USA,
57,Petit Auto,(02) 5554 67,Catherine,Dewey,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,EMEA
58,"Royal Canadian Collectables, Ltd.",(604) 555-4555,Elizabeth,Lincoln,23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada,
59,Gifts4AllAges.com,6175559555,Juri,Yoshido,8616 Spinnaker Dr.,,Boston,MA,51003,USA,
60,giftsbymail.co.uk,(198) 555-8888,Helen,Bennett,Garden House Crowther Way,,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA
61,"Oulu Toy Supplies, Inc.",981-443655,Pirkko,Koskitalo,Torikatu 38,,Oulu,,90110,Finland,EMEA
62,The Sharp Gifts Warehouse,4085553659,Sue,Frick,3086 Ingle Ln.,,San Jose,CA,94217,USA,
63,"La Corne D'abondance, Co.",(1) 42.34.2555,Marie,Bertrand,"265, boulevard Charonne",,Paris,,75012,France,EMEA
64,Mini Auto Werke,7675-3555,Roland,Mendel,Kirchgasse 6,,Graz,,8010,Austria,EMEA
65,Diecast Collectables,6175552555,Valarie,Franco,6251 Ingle Ln.,,Boston,MA,51003,USA,
66,Handji Gifts& Co,+65 224 1555,Wendy,Victorino,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC
67,Cruz & Sons Co.,+63 2 555 3587,Arnold,Cruz,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines,Japan
68,Marseille Mini Autos,91.24.4555,Laurence,Lebihan,"12, rue des Bouchers",,Marseille,,13008,France,EMEA
69,"Toms Spezialitten, Ltd",0221-5554327,Henriette,Pfalzheim,Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA
70,"Vida Sport, Ltd",0897-034555,Michael,Holz,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA
71,L'ordine Souveniers,0522-556555,Maurizio,Moroni,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA
72,Online Mini Collectables,6175557555,Miguel,Barajas,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA,
73,"Blauer See Auto, Co.",+49 69 66 90 2555,Roland,Keitel,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA
74,Suominen Souveniers,+358 9 8045 555,Kalle,Suominen,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA
75,Muscle Machine Inc,2125557413,Jeff,Young,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,
76,"Clover Collections, Co.",+353 1862 1555,Dean,Cassidy,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,EMEA
77,CAF Imports,+34 913 728 555,Jesus,Fernandez,"Merchants House, 27-30 Merchant's Quay",,Madrid,,28023,Spain,EMEA
78,"AV Stores, Co.",(171) 555-1555,Victoria,Ashworth,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA
79,Heintze Collectables,86 21 3555,Palle,Ibsen,Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA
80,Microscale Inc.,2125551957,Kee,Kuo,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,
81,Boards & Toys Co.,3105552373,Leslie,Young,4097 Douglas Av.,,Glendale,CA,92561,USA,
82,"Iberia Gift Imports, Corp.",(95) 555 82 82,Jose Pedro,Roel,"C/ Romero, 33",,Sevilla,,41101,Spain,EMEA
83,Signal Collectibles Ltd.,4155554312,Sue,Taylor,2793 Furth Circle,,Brisbane,CA,94217,USA,
84,Mini Caravy,88.60.1555,Frederique,Citeaux,"24, place Kluber",,Strasbourg,,67000,France,EMEA
85,Signal Gift Stores,7025551838,Sue,King,8489 Strong St.,,Las Vegas,NV,83030,USA,
86,"Norway Gifts By Mail, Co.",+47 2212 1555,Jan,Klaeboe,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,EMEA
87,Rovelli Gifts,035-640555,Giovanni,Rovelli,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA
88,"Australian Collectables, Ltd",61-9-3844-6555,Sean,Connery,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,APAC
89,Gift Ideas Corp.,2035554407,Dan,Lewis,2440 Pompton St.,,Glendale,CT,97561,USA,
90,"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Michael,Donnermeyer,Hansastr. 15,,Munich,,80686,Germany,EMEA
91,Royale Belge,(071) 23 67 2555,Pascale,Cartrain,"Boulevard Tirou, 255",,Charleroi,,B-6000,Belgium,EMEA
92,Auto-Moto Classics Inc.,6175558428,Leslie,Taylor,16780 Pompton St.,,Brickhaven,MA,58339,USA,
